me: 1153.2s (0.65s/upd)
Upd 2050/5000 | Tot Ep: 328 | Avg Rwd:  318.4 | Avg Pellets:  89.8 (35.2%) | Max Pellets: 134 (58.0%) | Loss (P/V): 0.0000/0.2987 | Time: 1309.4s (0.68s/upd)
Upd 2055/5000 | Tot Ep: 328 | Avg Rwd:  318.4 | Avg Pellets:  89.8 (35.2%) | Max Pellets: 134 (58.0%) | Loss (P/V): 0.0000/0.6518 | Time: 1312.1s (0.44s/upd)
Upd 2060/5000 | Tot Ep: 329 | Avg Rwd:  312.3 | Avg Pellets:  89.1 (34.4%) | Max Pellets: 134 (58.0%) | Loss (P/V): -0.0001/3.3896 | Time: 1314.3s (0.43s/upd)
Upd 2065/5000 | Tot Ep: 330 | Avg Rwd:  307.5 | Avg Pellets:  88.3 (34.9%) | Max Pellets: 134 (64.3%) | Loss (P/V): -0.0004/1.6319 | Time: 1316.5s (0.44s/upd)
Upd 2070/5000 | Tot Ep: 331 | Avg Rwd:  327.4 | Avg Pellets:  91.0 (36.0%) | Max Pellets: 134 (64.3%) | Loss (P/V): 0.0000/0.8888 | Time: 1318.7s (0.42s/upd)
Upd 2075/5000 | Tot Ep: 332 | Avg Rwd:  317.0 | Avg Pellets:  89.2 (36.7%) | Max Pellets: 134 (64.3%) | Loss (P/V): -0.0002/0.5776 | Time: 1320.9s (0.42s/upd)
Upd 2080/5000 | Tot Ep: 332 | Avg Rwd:  317.0 | Avg Pellets:  89.2 (36.7%) | Max Pellets: 134 (64.3%) | Loss (P/V): -0.0002/0.5417 | Time: 1323.8s (0.73s/upd)
Upd 2085/5000 | Tot Ep: 333 | Avg Rwd:  304.2 | Avg Pellets:  87.3 (34.6%) | Max Pellets: 134 (64.3%) | Loss (P/V): 0.0000/0.7432 | Time: 1327.2s (0.69s/upd)
Upd 2090/5000 | Tot Ep: 334 | Avg Rwd:  316.5 | Avg Pellets:  89.0 (35.4%) | Max Pellets: 134 (64.3%) | Loss (P/V): 0.0011/1.0823 | Time: 1330.6s (0.63s/upd)
Upd 2095/5000 | Tot Ep: 335 | Avg Rwd:  320.0 | Avg Pellets:  89.3 (35.6%) | Max Pellets: 134 (64.3%) | Loss (P/V): 0.0002/2.3473 | Time: 1334.0s (0.71s/upd)
Upd 2100/5000 | Tot Ep: 336 | Avg Rwd:  274.6 | Avg Pellets:  83.1 (34.0%) | Max Pellets: 128 (64.3%) | Loss (P/V): -0.0001/0.5912 | Time: 1337.6s (0.71s/upd)
Upd 2105/5000 | Tot Ep: 336 | Avg Rwd:  274.6 | Avg Pellets:  83.1 (34.0%) | Max Pellets: 128 (64.3%) | Loss (P/V): -0.0001/1.1396 | Time: 1341.0s (0.68s/upd)
Upd 2110/5000 | Tot Ep: 337 | Avg Rwd:  275.4 | Avg Pellets:  83.2 (34.2%) | Max Pellets: 128 (64.3%) | Loss (P/V): 0.0000/0.6819 | Time: 1344.3s (0.66s/upd)
Upd 2115/5000 | Tot Ep: 338 | Avg Rwd:  260.8 | Avg Pellets:  81.2 (34.1%) | Max Pellets: 128 (64.3%) | Loss (P/V): -0.0000/0.2432 | Time: 1347.7s (0.67s/upd)
Upd 2120/5000 | Tot Ep: 339 | Avg Rwd:  259.0 | Avg Pellets:  80.9 (32.7%) | Max Pellets: 128 (64.3%) | Loss (P/V): 0.0003/3.0945 | Time: 1351.2s (0.69s/upd)
Upd 2125/5000 | Tot Ep: 340 | Avg Rwd:  286.0 | Avg Pellets:  84.8 (33.4%) | Max Pellets: 134 (64.3%) | Loss (P/V): 0.0001/0.6624 | Time: 1354.7s (0.74s/upd)
Upd 2130/5000 | Tot Ep: 340 | Avg Rwd:  286.0 | Avg Pellets:  84.8 (33.4%) | Max Pellets: 134 (64.3%) | Loss (P/V): -0.0001/0.3381 | Time: 1358.3s (0.70s/upd)
Upd 2135/5000 | Tot Ep: 341 | Avg Rwd:  286.6 | Avg Pellets:  84.8 (32.6%) | Max Pellets: 134 (64.3%) | Loss (P/V): 0.0001/0.6059 | Time: 1361.5s (0.66s/upd)
Upd 2140/5000 | Tot Ep: 342 | Avg Rwd:  270.0 | Avg Pellets:  82.2 (34.3%) | Max Pellets: 134 (64.3%) | Loss (P/V): 0.0001/1.4519 | Time: 1364.8s (0.70s/upd)
Upd 2145/5000 | Tot Ep: 343 | Avg Rwd:  283.8 | Avg Pellets:  84.2 (34.9%) | Max Pellets: 134 (64.3%) | Loss (P/V): 0.0014/7.8155 | Time: 1368.4s (0.68s/upd)
Upd 2150/5000 | Tot Ep: 344 | Avg Rwd:  308.3 | Avg Pellets:  88.0 (36.3%) | Max Pellets: 164 (64.3%) | Loss (P/V): 0.0003/5.8572 | Time: 1371.9s (0.75s/upd)
Upd 2155/5000 | Tot Ep: 344 | Avg Rwd:  308.3 | Avg Pellets:  88.0 (36.3%) | Max Pellets: 164 (64.3%) | Loss (P/V): 0.0011/5.4579 | Time: 1375.7s (0.82s/upd)
Upd 2160/5000 | Tot Ep: 345 | Avg Rwd:  305.4 | Avg Pellets:  87.8 (35.8%) | Max Pellets: 164 (64.3%) | Loss (P/V): 0.0001/0.2547 | Time: 1379.5s (0.69s/upd)
Upd 2165/5000 | Tot Ep: 346 | Avg Rwd:  292.1 | Avg Pellets:  85.8 (35.1%) | Max Pellets: 164 (64.3%) | Loss (P/V): 0.0004/1.0618 | Time: 1383.0s (0.70s/upd)
Upd 2170/5000 | Tot Ep: 347 | Avg Rwd:  293.0 | Avg Pellets:  85.8 (33.8%) | Max Pellets: 164 (64.3%) | Loss (P/V): 0.0003/4.4220 | Time: 1386.5s (0.72s/upd)
Upd 2175/5000 | Tot Ep: 348 | Avg Rwd:  298.1 | Avg Pellets:  86.5 (35.3%) | Max Pellets: 164 (64.3%) | Loss (P/V): -0.0003/3.5003 | Time: 1389.9s (0.67s/upd)
Upd 2180/5000 | Tot Ep: 348 | Avg Rwd:  298.1 | Avg Pellets:  86.5 (35.3%) | Max Pellets: 164 (64.3%) | Loss (P/V): 0.0004/0.9577 | Time: 1393.4s (0.71s/upd)
Upd 2185/5000 | Tot Ep: 349 | Avg Rwd:  287.4 | Avg Pellets:  85.4 (34.1%) | Max Pellets: 164 (64.3%) | Loss (P/V): 0.0001/0.9364 | Time: 1396.7s (0.62s/upd)
Upd 2190/5000 | Tot Ep: 350 | Avg Rwd:  267.6 | Avg Pellets:  82.8 (32.8%) | Max Pellets: 164 (63.9%) | Loss (P/V): 0.0002/2.5422 | Time: 1400.0s (0.68s/upd)
Upd 2195/5000 | Tot Ep: 351 | Avg Rwd:  262.7 | Avg Pellets:  82.4 (32.8%) | Max Pellets: 164 (63.9%) | Loss (P/V): 0.0003/1.4198 | Time: 1403.4s (0.68s/upd)
Upd 2200/5000 | Tot Ep: 352 | Avg Rwd:  269.5 | Avg Pellets:  83.7 (31.6%) | Max Pellets: 164 (63.9%) | Loss (P/V): 0.0002/11.1618 | Time: 1406.9s (0.69s/upd)
Upd 2205/5000 | Tot Ep: 352 | Avg Rwd:  269.5 | Avg Pellets:  83.7 (31.6%) | Max Pellets: 164 (63.9%) | Loss (P/V): -0.0002/5.0534 | Time: 1409.4s (0.50s/upd)
Upd 2210/5000 | Tot Ep: 353 | Avg Rwd:  271.0 | Avg Pellets:  83.8 (32.4%) | Max Pellets: 164 (63.9%) | Loss (P/V): 0.0003/1.3468 | Time: 1412.6s (0.52s/upd)
Upd 2215/5000 | Tot Ep: 354 | Avg Rwd:  260.6 | Avg Pellets:  82.5 (32.0%) | Max Pellets: 164 (63.9%) | Loss (P/V): 0.0003/0.5968 | Time: 1416.0s (0.74s/upd)
Upd 2220/5000 | Tot Ep: 355 | Avg Rwd:  277.1 | Avg Pellets:  85.2 (31.5%) | Max Pellets: 164 (63.9%) | Loss (P/V): 0.0002/1.8908 | Time: 1419.7s (0.73s/upd)
Upd 2225/5000 | Tot Ep: 356 | Avg Rwd:  304.5 | Avg Pellets:  88.7 (32.9%) | Max Pellets: 164 (63.9%) | Loss (P/V): -0.0004/1.1297 | Time: 1423.1s (0.66s/upd)
Upd 2230/5000 | Tot Ep: 356 | Avg Rwd:  304.5 | Avg Pellets:  88.7 (32.9%) | Max Pellets: 164 (63.9%) | Loss (P/V): 0.0001/8.1464 | Time: 1426.5s (0.69s/upd)
Upd 2235/5000 | Tot Ep: 357 | Avg Rwd:  318.8 | Avg Pellets:  90.8 (33.3%) | Max Pellets: 164 (63.9%) | Loss (P/V): 0.0002/4.0574 | Time: 1430.0s (0.56s/upd)
Upd 2240/5000 | Tot Ep: 358 | Avg Rwd:  345.6 | Avg Pellets:  94.7 (33.8%) | Max Pellets: 164 (63.9%) | Loss (P/V): -0.0001/0.8816 | Time: 1432.3s (0.43s/upd)
Upd 2245/5000 | Tot Ep: 359 | Avg Rwd:  343.9 | Avg Pellets:  94.5 (33.9%) | Max Pellets: 164 (63.9%) | Loss (P/V): 0.0001/1.6202 | Time: 1434.6s (0.48s/upd)
Upd 2250/5000 | Tot Ep: 360 | Avg Rwd:  319.8 | Avg Pellets:  91.1 (32.9%) | Max Pellets: 164 (63.9%) | Loss (P/V): 0.0000/1.8404 | Time: 1436.9s (0.44s/upd)
Upd 2255/5000 | Tot Ep: 360 | Avg Rwd:  319.8 | Avg Pellets:  91.1 (32.9%) | Max Pellets: 164 (63.9%) | Loss (P/V): 0.0004/4.2739 | Time: 1440.5s (0.75s/upd)
Upd 2260/5000 | Tot Ep: 361 | Avg Rwd:  333.4 | Avg Pellets:  93.2 (33.1%) | Max Pellets: 164 (63.9%) | Loss (P/V): 0.0004/1.5442 | Time: 1443.9s (0.64s/upd)
Upd 2265/5000 | Tot Ep: 362 | Avg Rwd:  321.3 | Avg Pellets:  91.7 (31.1%) | Max Pellets: 164 (63.4%) | Loss (P/V): 0.0001/1.5203 | Time: 1447.2s (0.67s/upd)
Upd 2270/5000 | Tot Ep: 363 | Avg Rwd:  308.3 | Avg Pellets:  89.5 (30.7%) | Max Pellets: 164 (63.4%) | Loss (P/V): 0.0006/2.1162 | Time: 1450.6s (0.69s/upd)
Upd 2275/5000 | Tot Ep: 364 | Avg Rwd:  284.1 | Avg Pellets:  86.0 (29.7%) | Max Pellets: 151 (63.4%) | Loss (P/V): 0.0001/1.8439 | Time: 1454.1s (0.66s/upd)
Upd 2280/5000 | Tot Ep: 364 | Avg Rwd:  284.1 | Avg Pellets:  86.0 (29.7%) | Max Pellets: 151 (63.4%) | Loss (P/V): 0.0000/0.2369 | Time: 1457.6s (0.66s/upd)
Upd 2285/5000 | Tot Ep: 365 | Avg Rwd:  277.4 | Avg Pellets:  84.8 (30.5%) | Max Pellets: 151 (63.4%) | Loss (P/V): 0.0000/1.2930 | Time: 1461.2s (0.72s/upd)
Upd 2290/5000 | Tot Ep: 366 | Avg Rwd:  275.6 | Avg Pellets:  84.5 (30.3%) | Max Pellets: 151 (63.4%) | Loss (P/V): -0.0000/3.2048 | Time: 1464.9s (0.83s/upd)
Upd 2295/5000 | Tot Ep: 367 | Avg Rwd:  260.9 | Avg Pellets:  82.4 (30.2%) | Max Pellets: 151 (63.4%) | Loss (P/V): 0.0004/4.0449 | Time: 1468.2s (0.73s/upd)
Upd 2300/5000 | Tot Ep: 368 | Avg Rwd:  256.5 | Avg Pellets:  81.6 (28.0%) | Max Pellets: 151 (38.4%) | Loss (P/V): -0.0000/1.3546 | Time: 1471.9s (0.74s/upd)
Upd 2305/5000 | Tot Ep: 368 | Avg Rwd:  256.5 | Avg Pellets:  81.6 (28.0%) | Max Pellets: 151 (38.4%) | Loss (P/V): 0.0001/0.0986 | Time: 1474.9s (0.53s/upd)
Upd 2310/5000 | Tot Ep: 369 | Avg Rwd:  262.2 | Avg Pellets:  81.8 (29.4%) | Max Pellets: 151 (45.1%) | Loss (P/V): 0.0010/0.3784 | Time: 1477.5s (0.48s/upd)
Upd 2315/5000 | Tot Ep: 370 | Avg Rwd:  278.8 | Avg Pellets:  83.9 (29.9%) | Max Pellets: 151 (46.6%) | Loss (P/V): 0.0001/3.4673 | Time: 1480.8s (0.68s/upd)
Upd 2320/5000 | Tot Ep: 371 | Avg Rwd:  298.5 | Avg Pellets:  86.7 (30.7%) | Max Pellets: 151 (54.3%) | Loss (P/V): -0.0000/4.9717 | Time: 1484.3s (0.72s/upd)
Upd 2325/5000 | Tot Ep: 372 | Avg Rwd:  258.4 | Avg Pellets:  82.0 (29.2%) | Max Pellets: 151 (54.3%) | Loss (P/V): 0.0002/1.5778 | Time: 1487.9s (0.71s/upd)
Upd 2330/5000 | Tot Ep: 372 | Avg Rwd:  258.4 | Avg Pellets:  82.0 (29.2%) | Max Pellets: 151 (54.3%) | Loss (P/V): -0.0001/0.2759 | Time: 1491.5s (0.71s/upd)
Upd 2335/5000 | Tot Ep: 373 | Avg Rwd:  257.1 | Avg Pellets:  81.8 (28.8%) | Max Pellets: 151 (54.3%) | Loss (P/V): -0.0000/0.5652 | Time: 1494.8s (0.66s/upd)
Upd 2340/5000 | Tot Ep: 374 | Avg Rwd:  277.8 | Avg Pellets:  84.5 (30.4%) | Max Pellets: 151 (60.7%) | Loss (P/V): 0.0001/1.2174 | Time: 1498.1s (0.60s/upd)
Upd 2345/5000 | Tot Ep: 375 | Avg Rwd:  262.2 | Avg Pellets:  81.9 (31.0%) | Max Pellets: 142 (60.7%) | Loss (P/V): 0.0003/0.7517 | Time: 1501.3s (0.49s/upd)
Upd 2350/5000 | Tot Ep: 376 | Avg Rwd:  266.7 | Avg Pellets:  82.8 (31.3%) | Max Pellets: 142 (60.7%) | Loss (P/V): 0.0006/2.6500 | Time: 1504.5s (0.66s/upd)
Upd 2355/5000 | Tot Ep: 376 | Avg Rwd:  266.7 | Avg Pellets:  82.8 (31.3%) | Max Pellets: 142 (60.7%) | Loss (P/V): 0.0003/1.7098 | Time: 1507.5s (0.70s/upd)
Upd 2360/5000 | Tot Ep: 377 | Avg Rwd:  257.9 | Avg Pellets:  81.5 (31.4%) | Max Pellets: 142 (60.7%) | Loss (P/V): 0.0002/1.5798 | Time: 1510.9s (0.68s/upd)
Upd 2365/5000 | Tot Ep: 378 | Avg Rwd:  248.0 | Avg Pellets:  79.9 (31.2%) | Max Pellets: 142 (60.7%) | Loss (P/V): 0.0006/0.6827 | Time: 1514.3s (0.68s/upd)
Upd 2370/5000 | Tot Ep: 379 | Avg Rwd:  244.6 | Avg Pellets:  79.5 (30.7%) | Max Pellets: 142 (60.7%) | Loss (P/V): 0.0005/1.0582 | Time: 1517.8s (0.73s/upd)
Upd 2375/5000 | Tot Ep: 380 | Avg Rwd:  242.0 | Avg Pellets:  79.2 (30.4%) | Max Pellets: 142 (60.7%) | Loss (P/V): 0.0002/1.1366 | Time: 1521.5s (0.71s/upd)
Upd 2380/5000 | Tot Ep: 380 | Avg Rwd:  242.0 | Avg Pellets:  79.2 (30.4%) | Max Pellets: 142 (60.7%) | Loss (P/V): 0.0006/0.4703 | Time: 1525.2s (0.78s/upd)
Upd 2385/5000 | Tot Ep: 381 | Avg Rwd:  231.9 | Avg Pellets:  77.5 (30.3%) | Max Pellets: 142 (60.7%) | Loss (P/V): 0.0004/2.5181 | Time: 1528.7s (0.66s/upd)
Upd 2390/5000 | Tot Ep: 382 | Avg Rwd:  256.0 | Avg Pellets:  81.0 (31.2%) | Max Pellets: 142 (60.7%) | Loss (P/V): -0.0000/0.8924 | Time: 1531.8s (0.64s/upd)
