======================================================================
Training session started at 2026-09-05T19:15:05.207679
======================================================================
Loaded adversarial player checkpoint.
Loaded adversarial ghost checkpoint.
============================================================
Asymmetric Adv PPO | WU: 0 | Ratio: 5:1
U 0040 [GHOST TURN] | Ep 0071 | P_Rew: -190.2 | G_Rew:  138.5 | Win%:  56.3% | Die%:  98.0% | Loss(P/V): -0.003/11.653 | Ent: 1.368 | Time: 3634.6s
U 0041 [GHOST TURN] | Ep 0074 | P_Rew: -136.1 | G_Rew:  111.0 | Win%:  56.7% | Die%:  98.0% | Loss(P/V): -0.003/14.518 | Ent: 1.365 | Time: 3725.9s
U 0042 [GHOST TURN] | Ep 0080 | P_Rew: -152.6 | G_Rew:  119.9 | Win%:  56.0% | Die%:  98.0% | Loss(P/V): -0.001/11.796 | Ent: 1.361 | Time: 3814.5s
U 0043 [PLAYER TURN] | Ep 0080 | P_Rew: -152.6 | G_Rew:  119.9 | Win%:  56.0% | Die%:  98.0% | Loss(P/V): -0.000/26.215 | Ent: 0.369 | Time: 3903.2s
U 0044 [GHOST TURN] | Ep 0085 | P_Rew: -166.6 | G_Rew:  126.5 | Win%:  56.0% | Die%:  98.0% | Loss(P/V): -0.011/14.707 | Ent: 1.362 | Time: 3996.4s
U 0045 [GHOST TURN] | Ep 0087 | P_Rew: -156.9 | G_Rew:  121.7 | Win%:  57.4% | Die%:  98.0% | Loss(P/V): -0.004/13.266 | Ent: 1.363 | Time: 4091.5s
U 0046 [GHOST TURN] | Ep 0088 | P_Rew: -134.2 | G_Rew:  109.9 | Win%:  58.4% | Die%:  98.0% | Loss(P/V): -0.003/10.241 | Ent: 1.363 | Time: 4187.2s
U 0047 [GHOST TURN] | Ep 0088 | P_Rew: -134.2 | G_Rew:  109.9 | Win%:  58.4% | Die%:  98.0% | Loss(P/V): -0.006/14.780 | Ent: 1.367 | Time: 4283.8s
U 0048 [GHOST TURN] | Ep 0088 | P_Rew: -134.2 | G_Rew:  109.9 | Win%:  58.4% | Die%:  98.0% | Loss(P/V): -0.003/12.460 | Ent: 1.361 | Time: 4381.5s
U 0049 [PLAYER TURN] | Ep 0088 | P_Rew: -134.2 | G_Rew:  109.9 | Win%:  58.4% | Die%:  98.0% | Loss(P/V): 0.018/8.910 | Ent: 0.540 | Time: 4475.8s
U 0050 [GHOST TURN] | Ep 0089 | P_Rew: -483.2 | G_Rew:  284.6 | Win%:  59.2% | Die%:  98.0% | Loss(P/V): -0.000/8.079 | Ent: 1.352 | Time: 4570.5s
U 0051 [GHOST TURN] | Ep 0091 | P_Rew: -588.7 | G_Rew:  337.6 | Win%:  58.4% | Die%:  98.0% | Loss(P/V): -0.004/12.145 | Ent: 1.356 | Time: 4663.3s
U 0052 [GHOST TURN] | Ep 0094 | P_Rew: -505.6 | G_Rew:  295.8 | Win%:  57.6% | Die%:  98.0% | Loss(P/V): 0.001/13.918 | Ent: 1.363 | Time: 4755.4s
U 0053 [GHOST TURN] | Ep 0096 | P_Rew: -502.2 | G_Rew:  293.7 | Win%:  57.1% | Die%:  98.0% | Loss(P/V): -0.005/15.906 | Ent: 1.365 | Time: 4850.5s
U 0054 [GHOST TURN] | Ep 0099 | P_Rew: -537.8 | G_Rew:  311.3 | Win%:  57.1% | Die%:  98.0% | Loss(P/V): -0.005/15.024 | Ent: 1.359 | Time: 4943.9s
U 0055 [PLAYER TURN] | Ep 0102 | P_Rew: -547.5 | G_Rew:  315.6 | Win%:  57.4% | Die%:  98.0% | Loss(P/V): 0.003/23.494 | Ent: 0.283 | Time: 5033.5s
U 0056 [GHOST TURN] | Ep 0102 | P_Rew: -547.5 | G_Rew:  315.6 | Win%:  57.4% | Die%:  98.0% | Loss(P/V): -0.005/13.043 | Ent: 1.353 | Time: 5125.4s
U 0057 [GHOST TURN] | Ep 0105 | P_Rew: -698.4 | G_Rew:  390.2 | Win%:  56.0% | Die%:  96.0% | Loss(P/V): -0.004/10.125 | Ent: 1.347 | Time: 5215.3s
U 0058 [GHOST TURN] | Ep 0106 | P_Rew: -732.6 | G_Rew:  407.3 | Win%:  57.2% | Die%:  96.0% | Loss(P/V): -0.006/17.296 | Ent: 1.352 | Time: 5306.1s
U 0059 [GHOST TURN] | Ep 0107 | P_Rew: -751.5 | G_Rew:  416.8 | Win%:  56.9% | Die%:  96.0% | Loss(P/V): -0.005/13.700 | Ent: 1.363 | Time: 5397.4s
U 0060 [GHOST TURN] | Ep 0110 | P_Rew: -723.3 | G_Rew:  402.6 | Win%:  56.3% | Die%:  96.0% | Loss(P/V): -0.004/12.984 | Ent: 1.359 | Time: 5489.6s
U 0061 [PLAYER TURN] | Ep 0110 | P_Rew: -723.3 | G_Rew:  402.6 | Win%:  56.3% | Die%:  96.0% | Loss(P/V): 0.013/15.141 | Ent: 0.450 | Time: 5578.6s
