pygame 2.6.1 (SDL 2.28.4, Python 3.10.12)
Hello from the pygame community. https://www.pygame.org/contribute.html
Loading and validating dataset: AI_arena/data/PACMAN_IMITATION_DATA.jsonl
Loaded 150000 samples from 3636 episodes
Resumed supervised training from epoch 55 (reset early-stopping counter from 3)
Supervised Pac-Man training on cpu: 128722 train / 21278 validation
Press Ctrl+C to stop safely and save the current training state.
Epoch 056 | batch 2010/2012 | loss=0.19156 | acc=92.50%
Epoch 056 | batch 2012/2012 | loss=0.19165 | acc=92.50%
Epoch 056: train loss=0.19165 acc=92.50% | val loss=1.42254 acc=65.46%
Epoch 057 | batch 0010/2012 | loss=0.15886 | acc=93.75%
Epoch 057 | batch 0020/2012 | loss=0.14902 | acc=94.30%
Epoch 057 | batch 0030/2012 | loss=0.15312 | acc=93.96%
Epoch 057 | batch 0040/2012 | loss=0.16170 | acc=93.55%
Epoch 057 | batch 0050/2012 | loss=0.15796 | acc=93.72%
Epoch 057 | batch 0060/2012 | loss=0.15465 | acc=93.85%
Epoch 057 | batch 0070/2012 | loss=0.15105 | acc=94.00%
Epoch 057 | batch 0080/2012 | loss=0.15094 | acc=93.95%
Epoch 057 | batch 0090/2012 | loss=0.15264 | acc=93.99%
Epoch 057 | batch 0100/2012 | loss=0.15059 | acc=94.11%
Epoch 057 | batch 0110/2012 | loss=0.14930 | acc=94.19%
Epoch 057 | batch 0120/2012 | loss=0.15037 | acc=94.06%
Epoch 057 | batch 0130/2012 | loss=0.15083 | acc=94.05%
Epoch 057 | batch 0140/2012 | loss=0.14925 | acc=94.05%
Epoch 057 | batch 0150/2012 | loss=0.15061 | acc=93.92%
Epoch 057 | batch 0160/2012 | loss=0.15228 | acc=93.83%
Epoch 057 | batch 0170/2012 | loss=0.15094 | acc=93.92%
Epoch 057 | batch 0180/2012 | loss=0.14865 | acc=94.00%
Epoch 057 | batch 0190/2012 | loss=0.14733 | acc=94.09%
Epoch 057 | batch 0200/2012 | loss=0.14590 | acc=94.16%
Epoch 057 | batch 0210/2012 | loss=0.14665 | acc=94.17%
Epoch 057 | batch 0220/2012 | loss=0.14599 | acc=94.20%
Epoch 057 | batch 0230/2012 | loss=0.14768 | acc=94.17%
Epoch 057 | batch 0240/2012 | loss=0.14620 | acc=94.25%
Epoch 057 | batch 0250/2012 | loss=0.14675 | acc=94.23%
Epoch 057 | batch 0260/2012 | loss=0.14655 | acc=94.28%
Epoch 057 | batch 0270/2012 | loss=0.14730 | acc=94.24%
Epoch 057 | batch 0280/2012 | loss=0.14851 | acc=94.17%
Epoch 057 | batch 0290/2012 | loss=0.14781 | acc=94.22%
Epoch 057 | batch 0300/2012 | loss=0.14813 | acc=94.21%
Epoch 057 | batch 0310/2012 | loss=0.14963 | acc=94.16%
Epoch 057 | batch 0320/2012 | loss=0.15013 | acc=94.13%
Epoch 057 | batch 0330/2012 | loss=0.15102 | acc=94.04%
Epoch 057 | batch 0340/2012 | loss=0.15116 | acc=94.05%
Epoch 057 | batch 0350/2012 | loss=0.15225 | acc=94.03%
Epoch 057 | batch 0360/2012 | loss=0.15310 | acc=93.99%
Epoch 057 | batch 0370/2012 | loss=0.15451 | acc=93.94%
Epoch 057 | batch 0380/2012 | loss=0.15488 | acc=93.91%
