Upd 270/20000 | Tot Ep: 353 | Avg Rwd:  125.0 | Avg Pellets: 107.2 (42.2%) | Max Pellets: 186 (84.7%) | Loss (P/V): 0.0001/1.8962 | Time: 1179.6s (4.70s/upd)
Upd 275/20000 | Tot Ep: 360 | Avg Rwd:  125.2 | Avg Pellets: 107.1 (41.6%) | Max Pellets: 186 (84.7%) | Loss (P/V): 0.0001/2.9442 | Time: 1203.5s (5.10s/upd)
Upd 280/20000 | Tot Ep: 366 | Avg Rwd:  120.7 | Avg Pellets: 106.5 (40.6%) | Max Pellets: 186 (84.7%) | Loss (P/V): 0.0000/1.4685 | Time: 1230.0s (5.10s/upd)
Upd 285/20000 | Tot Ep: 373 | Avg Rwd:  112.8 | Avg Pellets: 105.4 (40.4%) | Max Pellets: 186 (84.7%) | Loss (P/V): 0.0002/2.9724 | Time: 1254.0s (4.27s/upd)
Upd 290/20000 | Tot Ep: 379 | Avg Rwd:  119.8 | Avg Pellets: 106.4 (41.1%) | Max Pellets: 186 (84.7%) | Loss (P/V): 0.0002/2.4657 | Time: 1275.4s (4.89s/upd)
Upd 295/20000 | Tot Ep: 386 | Avg Rwd:  123.1 | Avg Pellets: 107.0 (40.9%) | Max Pellets: 189 (84.7%) | Loss (P/V): -0.0001/2.0808 | Time: 1298.8s (5.64s/upd)
Upd 300/20000 | Tot Ep: 393 | Avg Rwd:  124.6 | Avg Pellets: 107.2 (40.5%) | Max Pellets: 189 (84.7%) | Loss (P/V): -0.0001/2.0498 | Time: 1322.1s (5.23s/upd)
Upd 305/20000 | Tot Ep: 399 | Avg Rwd:  121.8 | Avg Pellets: 107.0 (40.0%) | Max Pellets: 189 (84.7%) | Loss (P/V): 0.0000/2.6057 | Time: 1344.8s (4.74s/upd)
Upd 310/20000 | Tot Ep: 406 | Avg Rwd:  122.1 | Avg Pellets: 107.1 (39.6%) | Max Pellets: 189 (84.7%) | Loss (P/V): 0.0003/2.0469 | Time: 1369.5s (4.41s/upd)
Upd 315/20000 | Tot Ep: 412 | Avg Rwd:  123.3 | Avg Pellets: 107.4 (38.9%) | Max Pellets: 189 (84.7%) | Loss (P/V): 0.0001/2.3030 | Time: 1390.1s (3.92s/upd)
Upd 320/20000 | Tot Ep: 419 | Avg Rwd:  113.4 | Avg Pellets: 106.0 (38.5%) | Max Pellets: 189 (84.7%) | Loss (P/V): -0.0000/2.5240 | Time: 1417.1s (5.97s/upd)
Upd 325/20000 | Tot Ep: 425 | Avg Rwd:  117.7 | Avg Pellets: 106.6 (39.4%) | Max Pellets: 189 (84.7%) | Loss (P/V): -0.0000/1.8823 | Time: 1440.9s (4.29s/upd)
Upd 330/20000 | Tot Ep: 432 | Avg Rwd:  114.2 | Avg Pellets: 106.2 (38.0%) | Max Pellets: 189 (81.5%) | Loss (P/V): 0.0002/2.9409 | Time: 1466.7s (3.73s/upd)
Upd 335/20000 | Tot Ep: 438 | Avg Rwd:  111.6 | Avg Pellets: 105.8 (38.0%) | Max Pellets: 189 (81.5%) | Loss (P/V): -0.0000/2.3613 | Time: 1491.5s (6.11s/upd)
Upd 340/20000 | Tot Ep: 445 | Avg Rwd:  111.3 | Avg Pellets: 105.7 (37.8%) | Max Pellets: 189 (69.9%) | Loss (P/V): -0.0000/1.1460 | Time: 1514.0s (4.80s/upd)
Upd 345/20000 | Tot Ep: 451 | Avg Rwd:  120.4 | Avg Pellets: 107.1 (38.3%) | Max Pellets: 189 (69.9%) | Loss (P/V): 0.0000/1.5040 | Time: 1540.2s (5.18s/upd)
Upd 350/20000 | Tot Ep: 458 | Avg Rwd:  114.8 | Avg Pellets: 106.5 (37.5%) | Max Pellets: 189 (69.9%) | Loss (P/V): 0.0001/2.4790 | Time: 1565.7s (4.67s/upd)
Upd 355/20000 | Tot Ep: 465 | Avg Rwd:  111.2 | Avg Pellets: 106.1 (37.4%) | Max Pellets: 189 (64.1%) | Loss (P/V): 0.0002/2.0013 | Time: 1589.1s (4.75s/upd)
Upd 360/20000 | Tot Ep: 471 | Avg Rwd:  114.7 | Avg Pellets: 106.7 (37.7%) | Max Pellets: 189 (67.9%) | Loss (P/V): -0.0001/1.9024 | Time: 1609.8s (4.39s/upd)
Upd 365/20000 | Tot Ep: 478 | Avg Rwd:  115.7 | Avg Pellets: 106.9 (37.5%) | Max Pellets: 189 (67.9%) | Loss (P/V): 0.0001/3.3529 | Time: 1636.5s (3.90s/upd)
Upd 370/20000 | Tot Ep: 484 | Avg Rwd:  117.2 | Avg Pellets: 107.2 (38.5%) | Max Pellets: 166 (67.9%) | Loss (P/V): -0.0000/1.7006 | Time: 1657.7s (4.52s/upd)
Upd 375/20000 | Tot Ep: 491 | Avg Rwd:  112.4 | Avg Pellets: 106.5 (39.9%) | Max Pellets: 166 (67.9%) | Loss (P/V): 0.0002/1.5167 | Time: 1681.0s (3.58s/upd)
Upd 380/20000 | Tot Ep: 497 | Avg Rwd:  125.1 | Avg Pellets: 108.2 (41.2%) | Max Pellets: 172 (67.9%) | Loss (P/V): 0.0002/2.5755 | Time: 1703.0s (4.11s/upd)
Upd 385/20000 | Tot Ep: 504 | Avg Rwd:  131.8 | Avg Pellets: 109.1 (41.7%) | Max Pellets: 172 (78.2%) | Loss (P/V): 0.0001/3.0330 | Time: 1723.8s (5.23s/upd)
Upd 390/20000 | Tot Ep: 510 | Avg Rwd:  134.4 | Avg Pellets: 109.4 (43.0%) | Max Pellets: 172 (84.8%) | Loss (P/V): 0.0001/1.2940 | Time: 1744.4s (3.67s/upd)
Upd 395/20000 | Tot Ep: 517 | Avg Rwd:  133.9 | Avg Pellets: 109.3 (42.9%) | Max Pellets: 172 (84.8%) | Loss (P/V): 0.0001/2.1507 | Time: 1766.5s (4.84s/upd)
Upd 400/20000 | Tot Ep: 524 | Avg Rwd:  133.7 | Avg Pellets: 109.3 (43.0%) | Max Pellets: 172 (84.8%) | Loss (P/V): 0.0001/1.3733 | Time: 1790.3s (4.51s/upd)
